Day,Date,Time,Venue,Address,Home,Away,Tickets
Sunday,3/8/2026,2:00 PM,TBD,,Somerville United FC,Scrub Nation,No
Sunday,3/15/2026,2:00 PM,Dilboy Stadium,"110 Alewife Brook Pkwy, Somerville, MA 02144",Somerville United FC,Fitchburg FC,Yes
Sunday,3/22/2026,2:00 PM,Dilboy Stadium,"110 Alewife Brook Pkwy, Somerville, MA 02144",Somerville United FC,South Coast Union,Yes
Wednesday,3/25/2026,TBD,TBD,TBD,Falcons FC,Somerville United FC,No
Sunday,3/29/2026,2:00 PM,Dilboy Stadium,"110 Alewife Brook Pkwy, Somerville, MA 02144",Somerville United FC,Praia Kapital,Yes
Saturday,4/4/2026,1:00 PM,Pine Banks Park,"1087 Main St, Malden, MA 02148",Scrub Nation,Somerville United FC,No
Sat or Sun,4/11 - 4/12,TBD,Frey Park,"327 Walnut St, Lynn, MA 01905",Project Football,Somerville United FC,Yes
Sunday,4/19/2026,6:30 PM,Madison Park High School,"75 Malcolm X Blvd, Boston, MA 02120",Praia Kapital,Somerville United FC,No
Wednesday,4/22/2025,8:00 PM,TBD,TBD,Somerville United FC,Falcons FC,No
Saturday,4/25/2026,3:00 PM,Game On Fitchburg,"100 Game On Way, Fitchburg, MA 01420",Fitchburg FC,Somerville United FC,No
Wednesday,5/6/2026,8:00 PM,TBD,TBD,Somerville United FC,Project Football,No
Saturday,5/9/2026,3:00 PM,New Bedford Regional Vocational Technical HS,"1121 Ashley Blvd, New Bedford, MA 02745",South Coast Union,Somerville United FC,No
